timeStamp,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020
2022-06-25 19:30:35 +0000 ,-63.378044,-200.0,-64.31794,-63.173416,-70.84651,-72.5803,-69.80003,-200.0,-69.634285,-73.80051,-88.789246,-200.0,-200.0,-78.042336,-200.0,-87.08947,-200.0,-91.81863,-82.67441,-81.97329
2022-06-25 19:30:36 +0000 ,-63.322174,-200.0,-64.63582,-63.757484,-200.0,-72.74597,-69.79646,-73.05498,-200.0,-200.0,-200.0,-85.77464,-78.95998,-200.0,-82.82323,-200.0,-200.0,-91.769264,-82.55183,-200.0
2022-06-25 19:30:37 +0000 ,-200.0,-200.0,-200.0,-200.0,-70.79476,-200.0,-69.81388,-72.578285,-69.753975,-73.81473,-88.91067,-85.38966,-78.79228,-78.44582,-83.37237,-200.0,-200.0,-91.638565,-82.41905,-82.06114
2022-06-25 19:30:38 +0000 ,-63.338814,-200.0,-65.00921,-200.0,-70.59701,-72.87394,-200.0,-72.29566,-69.7515,-73.745026,-88.91831,-85.09965,-78.57405,-78.64082,-83.72409,-87.18805,-93.392845,-200.0,-200.0,-82.07659
2022-06-25 19:30:39 +0000 ,-63.330505,-200.0,-65.156006,-63.96718,-70.37482,-72.97028,-69.700035,-72.42365,-69.6872,-73.6164,-88.9253,-84.83444,-78.61335,-78.62736,-84.13413,-87.12776,-93.4448,-200.0,-82.232765,-82.005165
2022-06-25 19:30:40 +0000 ,-63.30223,-200.0,-65.03358,-64.12043,-200.0,-72.92863,-69.48971,-200.0,-69.56352,-73.4781,-89.06145,-200.0,-200.0,-78.573685,-200.0,-87.09615,-200.0,-91.563255,-82.43102,-81.85429
2022-06-25 19:30:41 +0000 ,-63.276375,-200.0,-64.98935,-64.34612,-200.0,-72.914055,-69.211815,-72.77384,-200.0,-200.0,-200.0,-84.98121,-78.73199,-200.0,-84.485565,-200.0,-200.0,-91.51507,-82.801254,-200.0
2022-06-25 19:30:42 +0000 ,-200.0,-200.0,-200.0,-200.0,-70.04188,-200.0,-200.0,-72.87591,-69.36487,-73.35164,-88.96778,-84.915085,-78.7756,-78.58948,-84.72137,-200.0,-200.0,-91.27636,-83.16049,-200.0
2022-06-25 19:30:43 +0000 ,-63.382492,-200.0,-64.860504,-64.5083,-69.76095,-72.66188,-200.0,-72.69189,-69.09766,-73.236,-88.79942,-84.751236,-78.79479,-78.55972,-84.91632,-87.34744,-93.36254,-200.0,-200.0,-81.890274
2022-06-25 19:30:44 +0000 ,-63.456005,-200.0,-64.70133,-64.635925,-69.52473,-72.47833,-69.06678,-72.46157,-69.02726,-73.19514,-88.77523,-200.0,-79.13676,-78.51184,-85.0946,-87.59507,-93.245964,-91.06092,-83.29435,-81.85546
2022-06-25 19:30:45 +0000 ,-63.437668,-200.0,-64.62065,-64.75263,-200.0,-72.222084,-68.97551,-200.0,-69.08981,-200.0,-88.72958,-200.0,-200.0,-78.46805,-200.0,-87.80083,-200.0,-90.94947,-83.28985,-81.84715
2022-06-25 19:30:46 +0000 ,-63.335346,-200.0,-64.50267,-64.92423,-200.0,-72.20593,-68.892044,-72.05633,-200.0,-200.0,-200.0,-84.990685,-79.22845,-200.0,-85.71178,-88.18363,-200.0,-90.86824,-83.26505,-200.0
2022-06-25 19:30:47 +0000 ,-200.0,-200.0,-200.0,-200.0,-69.373604,-200.0,-200.0,-71.81836,-200.0,-73.048676,-88.79692,-85.13907,-79.14402,-78.36312,-85.836975,-200.0,-93.139366,-90.72907,-83.24238,-81.60071
2022-06-25 19:30:48 +0000 ,-63.74014,-200.0,-64.89315,-65.36135,-69.25608,-71.94947,-200.0,-71.85742,-69.037926,-72.8734,-88.770096,-85.21272,-79.175896,-78.2465,-85.830246,-88.40107,-200.0,-200.0,-200.0,-81.42239
2022-06-25 19:30:49 +0000 ,-63.886436,-200.0,-65.22099,-65.7789,-69.08374,-71.61156,-68.88061,-72.084946,-68.689606,-72.58335,-88.63932,-85.604485,-79.50593,-78.01009,-85.58525,-88.537865,-200.0,-90.77577,-83.35141,-81.23582
2022-06-25 19:30:50 +0000 ,-63.896152,-200.0,-65.393875,-66.20493,-68.970345,-71.36744,-68.89082,-200.0,-68.288376,-72.276764,-88.56395,-200.0,-200.0,-77.752556,-200.0,-88.5332,-200.0,-90.94539,-83.29782,-80.849884
2022-06-25 19:30:51 +0000 ,-63.90504,-200.0,-65.53129,-66.61519,-200.0,-71.22977,-68.90016,-71.880196,-200.0,-200.0,-200.0,-85.35243,-79.436264,-200.0,-85.602905,-200.0,-200.0,-91.0563,-83.18679,-200.0
2022-06-25 19:30:52 +0000 ,-200.0,-200.0,-200.0,-200.0,-68.75756,-200.0,-68.97358,-71.61309,-68.18099,-72.061295,-88.38595,-84.89449,-79.22782,-77.84145,-85.39803,-200.0,-93.171646,-91.2668,-83.279884,-80.82423
2022-06-25 19:30:53 +0000 ,-200.0,-200.0,-65.39743,-66.86058,-68.52163,-71.12456,-200.0,-71.25976,-68.100624,-71.88493,-88.181816,-84.5406,-79.16697,-77.8315,-85.30195,-88.74711,-93.3074,-200.0,-200.0,-80.79507
2022-06-25 19:30:54 +0000 ,-63.848286,-200.0,-65.19231,-67.10851,-68.43565,-71.09322,-68.93164,-70.83043,-68.00646,-71.78854,-88.1249,-84.69183,-79.34733,-77.82524,-85.40588,-88.89566,-200.0,-91.370895,-83.297295,-80.921684
2022-06-25 19:30:55 +0000 ,-63.77571,-200.0,-65.06962,-67.226135,-68.65789,-71.15013,-68.85194,-200.0,-67.92035,-200.0,-88.37374,-85.16951,-200.0,-77.905075,-200.0,-88.92526,-200.0,-91.42472,-83.20698,-81.359024
2022-06-25 19:30:56 +0000 ,-63.774227,-200.0,-65.107864,-67.16258,-200.0,-71.22284,-68.84393,-70.936195,-200.0,-200.0,-200.0,-85.149315,-79.44453,-200.0,-85.152985,-200.0,-200.0,-91.34418,-83.16859,-200.0
2022-06-25 19:30:57 +0000 ,-200.0,-200.0,-200.0,-200.0,-68.74918,-200.0,-200.0,-71.133446,-68.03625,-71.6562,-88.68399,-84.96542,-79.49205,-77.99876,-84.73279,-200.0,-200.0,-91.22917,-83.21904,-81.51725
2022-06-25 19:30:58 +0000 ,-63.598904,-200.0,-64.924675,-66.998245,-68.640884,-71.02981,-200.0,-71.487785,-67.87986,-71.514496,-88.6433,-84.86215,-79.535515,-77.954666,-84.65227,-88.73702,-200.0,-200.0,-200.0,-81.36391
2022-06-25 19:30:59 +0000 ,-63.44143,-200.0,-64.67444,-66.95704,-68.43561,-70.900345,-68.7924,-72.06848,-67.69834,-71.44981,-88.43782,-85.047905,-79.64014,-77.872986,-84.7469,-88.502846,-200.0,-91.18889,-83.8049,-81.22655
2022-06-25 19:31:00 +0000 ,-63.253227,-200.0,-64.70514,-67.0256,-68.35699,-70.82332,-68.724594,-200.0,-67.61792,-200.0,-88.16436,-200.0,-200.0,-77.86318,-200.0,-88.288704,-200.0,-91.17273,-84.24654,-81.05672
2022-06-25 19:31:01 +0000 ,-62.995564,-200.0,-64.42664,-67.23872,-200.0,-70.687996,-68.727486,-72.53176,-200.0,-200.0,-200.0,-85.2356,-79.886246,-200.0,-84.52972,-200.0,-200.0,-91.15794,-84.37303,-200.0
2022-06-25 19:31:02 +0000 ,-200.0,-200.0,-200.0,-200.0,-68.39133,-200.0,-200.0,-72.719406,-67.50017,-71.346436,-88.023384,-85.256805,-80.21754,-78.069534,-84.22772,-200.0,-200.0,-91.27419,-84.36179,-80.81587
2022-06-25 19:31:03 +0000 ,-62.609512,-200.0,-64.112785,-67.410095,-68.443405,-70.4787,-200.0,-72.69922,-67.82598,-71.16636,-87.93583,-85.10508,-80.60603,-78.19049,-84.14621,-87.898254,-93.5171,-200.0,-200.0,-80.76959
2022-06-25 19:31:04 +0000 ,-62.215134,-200.0,-63.976215,-67.221725,-68.55591,-70.266624,-68.68592,-72.63939,-67.87938,-71.11077,-87.85577,-84.8601,-81.43613,-78.45439,-84.00394,-87.933334,-93.66465,-91.48673,-84.460594,-80.85419
2022-06-25 19:31:05 +0000 ,-61.854496,-200.0,-63.762928,-66.94608,-68.67946,-70.52686,-68.627235,-200.0,-67.6095,-71.16617,-87.71767,-200.0,-200.0,-78.822624,-200.0,-88.304794,-200.0,-91.44224,-84.52743,-81.40638
2022-06-25 19:31:06 +0000 ,-61.52471,-200.0,-63.461662,-66.7589,-200.0,-70.39053,-68.57357,-72.64957,-200.0,-200.0,-200.0,-84.615395,-81.236984,-200.0,-84.22176,-88.706505,-200.0,-91.31884,-84.56786,-200.0
2022-06-25 19:31:07 +0000 ,-200.0,-200.0,-200.0,-200.0,-68.79244,-200.0,-200.0,-72.74442,-67.560196,-71.17263,-87.37607,-84.391624,-80.83312,-78.79076,-84.09085,-200.0,-200.0,-91.20601,-84.73459,-81.277504
2022-06-25 19:31:08 +0000 ,-61.41779,-200.0,-63.29525,-66.54353,-69.02552,-70.81413,-200.0,-72.786964,-67.53294,-71.15787,-87.131424,-84.187004,-80.505165,-78.7673,-83.69664,-88.42505,-200.0,-200.0,-200.0,-80.97641
2022-06-25 19:31:09 +0000 ,-61.25228,-200.0,-63.31419,-66.26103,-69.280014,-71.16942,-68.45962,-72.99983,-67.681984,-71.27412,-87.07883,-200.0,-80.52967,-78.85209,-83.16505,-88.415054,-200.0,-91.10283,-84.863525,-80.721756
2022-06-25 19:31:10 +0000 ,-60.994705,-200.0,-63.437744,-66.046906,-69.77225,-71.21696,-68.39962,-200.0,-67.75054,-71.29202,-86.87745,-200.0,-200.0,-79.274704,-200.0,-88.35602,-200.0,-91.00847,-84.83099,-80.55377
2022-06-25 19:31:11 +0000 ,-60.933125,-200.0,-63.636288,-66.1313,-200.0,-71.133514,-68.365425,-73.061874,-200.0,-200.0,-200.0,-84.064766,-80.33106,-200.0,-83.15662,-88.69416,-200.0,-90.98706,-84.63014,-200.0
