"Date","UUID","Major","Minor","RSSI","Filtered RSSI","Error"
"2022-05-20T05:01:59.470","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-71.563126","0.3171108918759965"
"2022-05-20T05:02:07.206","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-71.53514","0.2863748195999983"
"2022-05-20T05:02:08.313","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-71.45968","2.1306657024000173"
"2022-05-20T05:02:09.420","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-71.38864","1.9283210495999867"
"2022-05-20T05:02:11.629","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-71.3699","0.1368260100000009"
"2022-05-20T05:02:12.737","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-71.35221","0.12405188409999962"
"2022-05-20T05:02:13.842","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-71.28803","1.659021280900016"
"2022-05-20T05:02:17.162","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-71.27446","0.07532829160000264"
"2022-05-20T05:02:18.268","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-71.261604","0.06843665281600288"
"2022-05-20T05:02:19.379","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-71","-71.24942","0.06221033640000032"
"2022-05-20T05:02:21.588","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-71.19156","1.4198152335999894"
"2022-05-20T05:02:22.699","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68","-71.04449","9.268919360099977"
"2022-05-20T05:02:23.802","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-68","-70.904816","8.437955993855981"
"2022-05-20T05:02:27.121","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-71.00054","3.9978402915999967"
"2022-05-20T05:02:28.227","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-71.09155","3.6421814025000074"
"2022-05-20T05:02:29.334","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-73","-71.17812","3.3192467343999748"
"2022-05-20T05:02:32.649","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-91","-72.07449","358.1749287601001"
"2022-05-20T05:02:33.755","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-71.98096","3.9242025215999843"
"2022-05-20T05:02:37.073","020012ac-4202-649d-ec11-b6cbc8814ad7","420","420","-70","-71.89186","3.5791342595999778"
